,train_loss,val_loss
0,0.5525500852553571,0.24787088468963026
1,0.3009513631218769,0.17262117808161218
2,0.3449970659662466,0.3160535506173676
3,0.29150037003345175,0.1592975983432695
4,0.20116208835703428,0.26635684102189305
5,0.28810587916217867,0.1705036938580033
6,0.2511264002714001,0.17973343920863533
7,0.2597797500794051,0.14675451182072458
8,0.1955125480890274,0.1550330784585741
9,0.1601973031876517,0.1607002915899738
10,0.20310270273294606,0.15480300647760528
11,0.18977194535927694,0.1418401563868803
12,0.16818322510015768,0.1537212098346037
13,0.19450579192794737,0.15626762583364848
14,0.18200314386946256,0.15293868928173787
15,0.2035189722893668,0.15817124196906496
16,0.2027817207281707,0.14851202840119407
17,0.17407815048440559,0.14804255884457257
18,0.17556854325239776,0.15689601929359187
19,0.238251517542073,0.15580795754015056
20,0.18347447280023918,0.15020641781925376
21,0.16433211281651355,0.14524246859394646
22,0.21559170596912258,0.1481075956930522
23,0.20587299813012608,0.15216374397277832
24,0.18633877009641928,0.16845386246450586
25,0.212637116674517,0.14898647630915923
26,0.16899862274771832,0.136166131574344
27,0.21468172552155668,0.1494085800413992
28,0.23915134248186332,0.14517402493096646
29,0.1866840234056848,0.14826356936124416
30,0.15793509072944767,0.1428183940500995
31,0.17326579010877452,0.1653082448672625
32,0.1937501330356129,0.1459017473887774
33,0.19790211661917265,0.15005969299989588
34,0.17361340610707393,0.14801699974957636
35,0.20762849635765201,0.1400640392615125
36,0.20871786870917336,0.13631049908843695
37,0.19122506604820003,0.1428474869603425
38,0.12418702366899272,0.15202041583902695
39,0.20103911224935875,0.16784035146625992
40,0.20508300622955697,0.1474603558677474
41,0.16780121600041625,0.15055479138505226
42,0.19809270149371663,0.1861589469161688
43,0.16270382946631948,0.1465712961028604
44,0.14209088487703292,0.16232416910283706
45,0.13148129499349437,0.18842923485375698
46,0.15142276003712513,0.1470666163497501
47,0.24868705673295943,0.16687147991330015
48,0.1875986923448375,0.1689409146121904
49,0.1418862054582502,0.15468892085006813
